date,open,high,low,close,volume,Volume
1990/11/30,0.323661,0.332589,0.323661,0.328125,0.26182279,121508800
1990/12/3,0.332589,0.341518015,0.330356985,0.340402007,0.271619111,165401600
1990/12/4,0.334820986,0.345981985,0.334820986,0.34375,0.274290532,152152000
1990/12/5,0.34375,0.359375,0.338169992,0.358258992,0.28586787,218388800
1990/12/6,0.368304014,0.372768015,0.361606985,0.368304014,0.293883145,532246400
1990/12/7,0.366070986,0.381695986,0.366070986,0.379464,0.302788168,329660800
1990/12/10,0.377231985,0.379464,0.370536,0.372768015,0.297444999,250588800
1990/12/11,0.368304014,0.370536,0.357143015,0.357143015,0.284977317,347883200
1990/12/12,0.354911,0.357143015,0.348214,0.353794992,0.282305866,242356800
1990/12/13,0.352679014,0.366070986,0.352679014,0.363839,0.290320277,160731200
1990/12/14,0.359375,0.361606985,0.352679014,0.356027007,0.284086883,87068800
1990/12/17,0.348214,0.361606985,0.348214,0.358258992,0.28586787,131107200
1990/12/18,0.366070986,0.379464,0.363839,0.377231985,0.301007032,220987200
1990/12/19,0.379464,0.379464,0.367188007,0.373883992,0.298335671,140660800
1990/12/20,0.368304014,0.397320986,0.368304014,0.392856985,0.313474655,401072000
1990/12/21,0.395089,0.404018015,0.388393015,0.401786,0.320599467,346136000
1990/12/24,0.399554014,0.401786,0.392856985,0.392856985,0.313474655,58721600
1990/12/26,0.392856985,0.395089,0.383929014,0.390625,0.311693758,103073600
1990/12/27,0.386161,0.392856985,0.386161,0.388393015,0.309912771,97652800
1990/12/28,0.386161,0.388393015,0.381695986,0.383929014,0.306350768,63929600
1990/12/31,0.383929014,0.386161,0.381695986,0.383929014,0.306350768,44273600
1991/1/2,0.381695986,0.392856985,0.375,0.388393015,0.309912771,154985600
1991/1/3,0.388393015,0.395089,0.383929014,0.383929014,0.306350768,150180800
1991/1/4,0.383929014,0.395089,0.383929014,0.386161,0.308131754,141523200
1991/1/7,0.383929014,0.404018015,0.383929014,0.386161,0.308131754,310800000
1991/1/8,0.390625,0.391741008,0.379464,0.386161,0.308131754,218691200
1991/1/9,0.395089,0.410714,0.390625,0.404018015,0.322380543,467264000
1991/1/10,0.408481985,0.421875,0.408481985,0.420758992,0.335738808,435321600
1991/1/11,0.419643015,0.421875,0.410714,0.419643015,0.334848255,307652800
1991/1/14,0.410714,0.417411,0.410714,0.412945986,0.32950446,210840000
1991/1/15,0.415179014,0.417411,0.410714,0.417411,0.333067387,192057600
1991/1/16,0.419643015,0.446429014,0.417411,0.444195986,0.354440033,390633600
1991/1/17,0.46875,0.470981985,0.4375,0.457589,0.365126818,591673600
1991/1/18,0.435268015,0.453125,0.433036,0.448661,0.358002841,943241600
1991/1/21,0.444195986,0.459820986,0.444195986,0.453125,0.361564845,324307200
1991/1/22,0.455356985,0.46875,0.450893015,0.457589,0.365126818,427728000
1991/1/23,0.457589,0.466518015,0.455356985,0.462054014,0.368689567,244260800
1991/1/24,0.459820986,0.470981985,0.459820986,0.465402007,0.371361077,233934400
1991/1/25,0.464286,0.478794992,0.464286,0.477679014,0.381157458,223809600
1991/1/28,0.475445986,0.493304014,0.475445986,0.486606985,0.388281226,273481600
1991/1/29,0.484375,0.486606985,0.466518015,0.479911,0.382938296,215555200
1991/1/30,0.475445986,0.497768015,0.475445986,0.495536,0.395406127,336772800
1991/1/31,0.495536,0.5,0.488839,0.495536,0.395406127,242592000
1991/2/1,0.495536,0.516740978,0.495536,0.497768015,0.397187114,444550400
1991/2/4,0.497768015,0.5,0.491070986,0.493304014,0.39362511,267848000
1991/2/5,0.493304014,0.517857015,0.488839,0.515625,0.411435843,356115200
1991/2/6,0.515625,0.520088971,0.504463971,0.507812977,0.405202329,222566400
1991/2/7,0.508929014,0.524554014,0.497768015,0.515625,0.411435843,520172800
1991/2/8,0.513392985,0.537945986,0.513392985,0.534597993,0.426574975,313555200
1991/2/11,0.535713971,0.549107015,0.533482015,0.547990978,0.43726179,323030400
1991/2/12,0.544642985,0.546875,0.530134022,0.535713971,0.427465528,224750400
1991/2/13,0.535713971,0.537945986,0.517857015,0.535713971,0.427465528,255550400
1991/2/14,0.535713971,0.535713971,0.506695986,0.510044992,0.406983405,377675200
1991/2/15,0.511161029,0.522320986,0.511161029,0.514509022,0.41140908,365612800
1991/2/19,0.513392985,0.537945986,0.512277007,0.535713971,0.428365022,226251200
1991/2/20,0.53125,0.551338971,0.529017985,0.544642985,0.435504794,213640000
1991/2/21,0.546875,0.555804014,0.524554014,0.526786029,0.421226144,190870400
1991/2/22,0.526786029,0.551338971,0.522320986,0.533482015,0.426580459,232568000
1991/2/25,0.537945986,0.540179014,0.513392985,0.517857015,0.414086342,359273600
1991/2/26,0.513392985,0.524554014,0.504463971,0.520088971,0.415871114,250017600
1991/2/27,0.520088971,0.522320986,0.513392985,0.520088971,0.415871114,174372800
1991/2/28,0.520088971,0.522320986,0.502232015,0.511161029,0.408732116,227360000
1991/3/1,0.508929014,0.526786029,0.508929014,0.515625,0.41230157,126134400
1991/3/4,0.517857015,0.524554014,0.508929014,0.521205008,0.416763425,88356800
1991/3/5,0.526786029,0.564732015,0.526786029,0.563615978,0.450675905,441448000
1991/3/6,0.571429014,0.585937977,0.561384022,0.5625,0.449783385,523958400
1991/3/7,0.566963971,0.602679014,0.564732015,0.600445986,0.480125725,321753600
1991/3/8,0.604911029,0.609375,0.580357015,0.580357015,0.464062423,322201600
1991/3/11,0.575892985,0.578125,0.555804014,0.566963971,0.453353018,175369600
1991/3/12,0.5625,0.569195986,0.558036029,0.561384022,0.448890924,233676800
1991/3/13,0.560267985,0.59375,0.560267985,0.591517985,0.472986668,174552000
1991/3/14,0.595982015,0.602679014,0.575892985,0.582588971,0.465846896,227068800
1991/3/15,0.587054014,0.59375,0.582588971,0.591517985,0.472986668,204836800
1991/3/18,0.587054014,0.609375,0.587054014,0.604911029,0.483696193,214009600
1991/3/19,0.59375,0.627232015,0.587054014,0.620536029,0.496189952,422195200
1991/3/20,0.618304014,0.620536029,0.597097993,0.604911029,0.483696193,361704000
1991/3/21,0.609375,0.613838971,0.569195986,0.578125,0.462277383,296800000
1991/3/22,0.571429014,0.578125,0.555804014,0.564732015,0.451568276,338128000
1991/3/25,0.566963971,0.580357015,0.564732015,0.575892985,0.460492879,135856000
1991/3/26,0.578125,0.627232015,0.578125,0.625,0.499759287,333625600
1991/3/27,0.625,0.627232015,0.611607015,0.618304014,0.494405419,190220800
1991/3/28,0.618304014,0.625,0.604911029,0.607142985,0.485480696,78702400
1991/4/1,0.607142985,0.620536029,0.602679014,0.611607015,0.48905018,117924800
1991/4/2,0.616070986,0.649554014,0.611607015,0.649554014,0.519393265,292924800
1991/4/3,0.647320986,0.649554014,0.625,0.625,0.499759287,240128000
1991/4/4,0.625,0.642857015,0.620536029,0.638392985,0.510468602,168436800
